Original Text,Preprocessing Text
Tmobile changed the network without notify customer in NYC,tmobil chang network without notifi custom nyc
International LTE with Simple Choice plan,intern lte simpl choic plan
"Is there a modernization in progress in and around my zip code - 94117? If yes, how long before services are restored to normal?",modern progress around zip code ye long servic restor normal
no calling for 4 days in 87043,call day
LTE is broken - need status page,lte break need statu page
No service or poor service,servic poor servic
Slower than Dial-Up,slower
TM-AC1900 configuration question,configur question
No Service?????,servic
Network not registered lack of coverage in Rhode Island,network regist lack coverag rhode island
Suddenly my S4s cannot make or receive voice calls on 4g lte,suddenli make receiv voic call lte
Horrible coverage in Kingsland GA,horribl coverag kingsland ga
No Service three days in a row 94578,servic day row
"Coverage in Reno, NV Horrendous",coverag reno nv horrend
band 12 with 4 bar signal but no service at all,band bar signal servic
Texting during modernization,text modern
Roaming,roam
poor coverage,poor coverag
Outage Eastern NC,outag eastern nc
Wrong WEAs,wrong wea
Tmobile changed the network without notify customer in NYC,tmobil chang network without notifi custom nyc
International LTE with Simple Choice plan,intern lte simpl choic plan
"Is there a modernization in progress in and around my zip code - 94117? If yes, how long before services are restored to normal?",modern progress around zip code ye long servic restor normal
no calling for 4 days in 87043,call day
LTE is broken - need status page,lte break need statu page
No service or poor service,servic poor servic
Slower than Dial-Up,slower
TM-AC1900 configuration question,configur question
No Service?????,servic
Network not registered lack of coverage in Rhode Island,network regist lack coverag rhode island
Suddenly my S4s cannot make or receive voice calls on 4g lte,suddenli make receiv voic call lte
Horrible coverage in Kingsland GA,horribl coverag kingsland ga
No Service three days in a row 94578,servic day row
"Coverage in Reno, NV Horrendous",coverag reno nv horrend
band 12 with 4 bar signal but no service at all,band bar signal servic
Texting during modernization,text modern
Roaming,roam
poor coverage,poor coverag
Outage Eastern NC,outag eastern nc
Wrong WEAs,wrong wea
Tmobile changed the network without notify customer in NYC,tmobil chang network without notifi custom nyc
International LTE with Simple Choice plan,intern lte simpl choic plan
"Is there a modernization in progress in and around my zip code - 94117? If yes, how long before services are restored to normal?",modern progress around zip code ye long servic restor normal
no calling for 4 days in 87043,call day
LTE is broken - need status page,lte break need statu page
No service or poor service,servic poor servic
Slower than Dial-Up,slower
TM-AC1900 configuration question,configur question
No Service?????,servic
Network not registered lack of coverage in Rhode Island,network regist lack coverag rhode island
Suddenly my S4s cannot make or receive voice calls on 4g lte,suddenli make receiv voic call lte
Horrible coverage in Kingsland GA,horribl coverag kingsland ga
No Service three days in a row 94578,servic day row
"Coverage in Reno, NV Horrendous",coverag reno nv horrend
band 12 with 4 bar signal but no service at all,band bar signal servic
Texting during modernization,text modern
Roaming,roam
poor coverage,poor coverag
Outage Eastern NC,outag eastern nc
Wrong WEAs,wrong wea
Outage - Chicago and suburbs?,outag chicago suburb
4 days without data in Draper UT,day without data draper ut
Home Signal Booster - SureCall Fusion7,home signal booster surecal
No signal,signal
"Poor coverage from Long Island City, NY and points east",poor coverag long island citi ny point east
International service in Kenya,intern servic kenya
No roaming data connection in LA & TX continued...,roam data connect la tx continu
México partners?,m_xico partner
Who are the roaming partners in mexico?,roam partner mexico
MN Lack of Service,mn lack servic
Coverage woes,coverag woe
"Band 12 Columbus, GA?",band columbu ga
No 2g Svc. when my High speed data ran out,svc high speed data run
"Poor coverage in Pagosa Springs, CO",poor coverag pagosa spring co
US number calling US number traveling overseas...,us number call us number travel oversea
Purchase a Alcatel T-Mobile 9961 Personal 4G LTE Cellspot from eBay,purchas alcatel person lte cellspot ebay
"Nexus 6P: Was on prepaid, now on T-Mobile ONE. New sim prioritizes HSPA over LTE, and some ""verified"" 4G LTE spots have either zero reception or 1Mbps speeds.",nexu prepay new sim priorit hspa lte verifi lte spot either recept speed
Text messages are taking a long time to send,text messag take long time send
Chicagoland Area Band 12/700MHz VoLTE question,chicagoland area band volt question
Signal Question,signal question
Outage - Chicago and suburbs?,outag chicago suburb
4 days without data in Draper UT,day without data draper ut
Home Signal Booster - SureCall Fusion7,home signal booster surecal
No signal,signal
"Poor coverage from Long Island City, NY and points east",poor coverag long island citi ny point east
International service in Kenya,intern servic kenya
No roaming data connection in LA & TX continued...,roam data connect la tx continu
México partners?,m_xico partner
Who are the roaming partners in mexico?,roam partner mexico
MN Lack of Service,mn lack servic
Coverage woes,coverag woe
"Band 12 Columbus, GA?",band columbu ga
No 2g Svc. when my High speed data ran out,svc high speed data run
"Poor coverage in Pagosa Springs, CO",poor coverag pagosa spring co
US number calling US number traveling overseas...,us number call us number travel oversea
Purchase a Alcatel T-Mobile 9961 Personal 4G LTE Cellspot from eBay,purchas alcatel person lte cellspot ebay
"Nexus 6P: Was on prepaid, now on T-Mobile ONE. New sim prioritizes HSPA over LTE, and some ""verified"" 4G LTE spots have either zero reception or 1Mbps speeds.",nexu prepay new sim priorit hspa lte verifi lte spot either recept speed
Text messages are taking a long time to send,text messag take long time send
Chicagoland Area Band 12/700MHz VoLTE question,chicagoland area band volt question
Signal Question,signal question
Outage - Chicago and suburbs?,outag chicago suburb
4 days without data in Draper UT,day without data draper ut
Home Signal Booster - SureCall Fusion7,home signal booster surecal
No signal,signal
"Poor coverage from Long Island City, NY and points east",poor coverag long island citi ny point east
International service in Kenya,intern servic kenya
No roaming data connection in LA & TX continued...,roam data connect la tx continu
México partners?,m_xico partner
Who are the roaming partners in mexico?,roam partner mexico
MN Lack of Service,mn lack servic
Coverage woes,coverag woe
"Band 12 Columbus, GA?",band columbu ga
No 2g Svc. when my High speed data ran out,svc high speed data run
"Poor coverage in Pagosa Springs, CO",poor coverag pagosa spring co
US number calling US number traveling overseas...,us number call us number travel oversea
Purchase a Alcatel T-Mobile 9961 Personal 4G LTE Cellspot from eBay,purchas alcatel person lte cellspot ebay
"Nexus 6P: Was on prepaid, now on T-Mobile ONE. New sim prioritizes HSPA over LTE, and some ""verified"" 4G LTE spots have either zero reception or 1Mbps speeds.",nexu prepay new sim priorit hspa lte verifi lte spot either recept speed
Text messages are taking a long time to send,text messag take long time send
Chicagoland Area Band 12/700MHz VoLTE question,chicagoland area band volt question
Signal Question,signal question
Outage - Chicago and suburbs?,outag chicago suburb
4 days without data in Draper UT,day without data draper ut
Home Signal Booster - SureCall Fusion7,home signal booster surecal
No signal,signal
"Poor coverage from Long Island City, NY and points east",poor coverag long island citi ny point east
International service in Kenya,intern servic kenya
No roaming data connection in LA & TX continued...,roam data connect la tx continu
México partners?,m_xico partner
Who are the roaming partners in mexico?,roam partner mexico
MN Lack of Service,mn lack servic
Coverage woes,coverag woe
"Band 12 Columbus, GA?",band columbu ga
No 2g Svc. when my High speed data ran out,svc high speed data run
"Poor coverage in Pagosa Springs, CO",poor coverag pagosa spring co
US number calling US number traveling overseas...,us number call us number travel oversea
Purchase a Alcatel T-Mobile 9961 Personal 4G LTE Cellspot from eBay,purchas alcatel person lte cellspot ebay
"Nexus 6P: Was on prepaid, now on T-Mobile ONE. New sim prioritizes HSPA over LTE, and some ""verified"" 4G LTE spots have either zero reception or 1Mbps speeds.",nexu prepay new sim priorit hspa lte verifi lte spot either recept speed
Text messages are taking a long time to send,text messag take long time send
Chicagoland Area Band 12/700MHz VoLTE question,chicagoland area band volt question
Signal Question,signal question
Not Registered on Network Roaming,regist network roam
new problem with mexico roaming,new problem mexico roam
"If you are on T-Mobile's parnter network, is that considered roaming",parnter network consid roam
4G LTE Cellspot,lte cellspot
No signal Norther CA,signal norther ca
"Leesburg, VA Coverage",leesburg va coverag
Problem with calls over LTE,problem call lte
"Sudden lack of coverage in Harrisburg, PA",sudden lack coverag harrisburg pa
Using iPhone abroad (roaming)...,use iphon abroad roam
Digits App not working on WiFi with T-Mobile SIM?,digit app work wifi sim
LTE coverage in Skagway,lte coverag skagway
No signal in Canda(Vancouver),signal canda vancouv
So still haveing issues with coverage,still have issu coverag
Building my own tower?,build tower
Iphone 4s Stuck on Edge,iphon stick edg
Frequency Band Update,frequenc band updat
Roaming in Poland,roam poland
"No coverage on highways in Millersville,MD",coverag highway millersvil md
"If all the LTE connections are taken, can I still connect with regular 4g?",lte connect take still connect regular
"While in Japan, will people get charged for text/calls if the contact me?",japan peopl get charg contact
Not Registered on Network Roaming,regist network roam
new problem with mexico roaming,new problem mexico roam
"If you are on T-Mobile's parnter network, is that considered roaming",parnter network consid roam
4G LTE Cellspot,lte cellspot
No signal Norther CA,signal norther ca
"Leesburg, VA Coverage",leesburg va coverag
Problem with calls over LTE,problem call lte
"Sudden lack of coverage in Harrisburg, PA",sudden lack coverag harrisburg pa
Using iPhone abroad (roaming)...,use iphon abroad roam
Digits App not working on WiFi with T-Mobile SIM?,digit app work wifi sim
LTE coverage in Skagway,lte coverag skagway
No signal in Canda(Vancouver),signal canda vancouv
So still haveing issues with coverage,still have issu coverag
Building my own tower?,build tower
Iphone 4s Stuck on Edge,iphon stick edg
Frequency Band Update,frequenc band updat
Roaming in Poland,roam poland
"No coverage on highways in Millersville,MD",coverag highway millersvil md
"If all the LTE connections are taken, can I still connect with regular 4g?",lte connect take still connect regular
"While in Japan, will people get charged for text/calls if the contact me?",japan peopl get charg contact
Not Registered on Network Roaming,regist network roam
new problem with mexico roaming,new problem mexico roam
"If you are on T-Mobile's parnter network, is that considered roaming",parnter network consid roam
4G LTE Cellspot,lte cellspot
No signal Norther CA,signal norther ca
"Leesburg, VA Coverage",leesburg va coverag
Problem with calls over LTE,problem call lte
"Sudden lack of coverage in Harrisburg, PA",sudden lack coverag harrisburg pa
Using iPhone abroad (roaming)...,use iphon abroad roam
Digits App not working on WiFi with T-Mobile SIM?,digit app work wifi sim
LTE coverage in Skagway,lte coverag skagway
No signal in Canda(Vancouver),signal canda vancouv
So still haveing issues with coverage,still have issu coverag
Building my own tower?,build tower
Iphone 4s Stuck on Edge,iphon stick edg
Frequency Band Update,frequenc band updat
Roaming in Poland,roam poland
"No coverage on highways in Millersville,MD",coverag highway millersvil md
"If all the LTE connections are taken, can I still connect with regular 4g?",lte connect take still connect regular
"While in Japan, will people get charged for text/calls if the contact me?",japan peopl get charg contact
Not Registered on Network Roaming,regist network roam
new problem with mexico roaming,new problem mexico roam
"If you are on T-Mobile's parnter network, is that considered roaming",parnter network consid roam
4G LTE Cellspot,lte cellspot
No signal Norther CA,signal norther ca
"Leesburg, VA Coverage",leesburg va coverag
Problem with calls over LTE,problem call lte
"Sudden lack of coverage in Harrisburg, PA",sudden lack coverag harrisburg pa
Using iPhone abroad (roaming)...,use iphon abroad roam
Digits App not working on WiFi with T-Mobile SIM?,digit app work wifi sim
LTE coverage in Skagway,lte coverag skagway
No signal in Canda(Vancouver),signal canda vancouv
So still haveing issues with coverage,still have issu coverag
Building my own tower?,build tower
Iphone 4s Stuck on Edge,iphon stick edg
Frequency Band Update,frequenc band updat
Roaming in Poland,roam poland
"No coverage on highways in Millersville,MD",coverag highway millersvil md
"If all the LTE connections are taken, can I still connect with regular 4g?",lte connect take still connect regular
"While in Japan, will people get charged for text/calls if the contact me?",japan peopl get charg contact
Not Registered on Network Roaming,regist network roam
new problem with mexico roaming,new problem mexico roam
"If you are on T-Mobile's parnter network, is that considered roaming",parnter network consid roam
4G LTE Cellspot,lte cellspot
No signal Norther CA,signal norther ca
"Leesburg, VA Coverage",leesburg va coverag
Problem with calls over LTE,problem call lte
"Sudden lack of coverage in Harrisburg, PA",sudden lack coverag harrisburg pa
Using iPhone abroad (roaming)...,use iphon abroad roam
Digits App not working on WiFi with T-Mobile SIM?,digit app work wifi sim
LTE coverage in Skagway,lte coverag skagway
No signal in Canda(Vancouver),signal canda vancouv
So still haveing issues with coverage,still have issu coverag
Building my own tower?,build tower
Iphone 4s Stuck on Edge,iphon stick edg
Frequency Band Update,frequenc band updat
Roaming in Poland,roam poland
"No coverage on highways in Millersville,MD",coverag highway millersvil md
"If all the LTE connections are taken, can I still connect with regular 4g?",lte connect take still connect regular
"While in Japan, will people get charged for text/calls if the contact me?",japan peopl get charg contact
Not Registered on Network Roaming,regist network roam
new problem with mexico roaming,new problem mexico roam
"If you are on T-Mobile's parnter network, is that considered roaming",parnter network consid roam
4G LTE Cellspot,lte cellspot
No signal Norther CA,signal norther ca
"Leesburg, VA Coverage",leesburg va coverag
Problem with calls over LTE,problem call lte
"Sudden lack of coverage in Harrisburg, PA",sudden lack coverag harrisburg pa
Using iPhone abroad (roaming)...,use iphon abroad roam
Digits App not working on WiFi with T-Mobile SIM?,digit app work wifi sim
LTE coverage in Skagway,lte coverag skagway
No signal in Canda(Vancouver),signal canda vancouv
So still haveing issues with coverage,still have issu coverag
Building my own tower?,build tower
Iphone 4s Stuck on Edge,iphon stick edg
Frequency Band Update,frequenc band updat
Roaming in Poland,roam poland
"No coverage on highways in Millersville,MD",coverag highway millersvil md
"If all the LTE connections are taken, can I still connect with regular 4g?",lte connect take still connect regular
"While in Japan, will people get charged for text/calls if the contact me?",japan peopl get charg contact
Ultra slow LTE speed in Las Vegas last two months and no response,ultra slow lte speed la vega last month respons
US Cellular EDGE priority too high,us cellular edg prioriti high
One Plus 3 (European model),plu european model
Cannot send text but I am receiving them,send text receiv
"Coverage deficiencies (could use a little help - hint, hint....)",coverag defici could use littl help hint hint
"No service yet metroPCS has 4G, same location",servic yet metropc locat
"Coverage in Huntington, WV.",coverag huntington wv
No IPv6 Access?,access
"4G LTE in Cambridge, MA",lte cambridg
phone use in Paris,phone use pari
Wi-Fi calling on Moto Z,call moto z
San Diego one bar signal strength,san diego bar signal strength
No service and poor Lte,servic poor lte
No network registered,network regist
WiFi Calling with HD Voice?,wifi call hd voic
worst service in the world,worst servic world
My experience with tmobile: a horror story,experi tmobil horror stori
Terrible Call Quality - People cannot hear me,terribl call qualiti peopl hear
Is anyone in the NJ area not receiving service right now?,anyon nj area receiv servic right
I have 3 bars in my office and get ZERo service. Whats up with that?,bar offic get servic what
Ultra slow LTE speed in Las Vegas last two months and no response,ultra slow lte speed la vega last month respons
US Cellular EDGE priority too high,us cellular edg prioriti high
One Plus 3 (European model),plu european model
Cannot send text but I am receiving them,send text receiv
"Coverage deficiencies (could use a little help - hint, hint....)",coverag defici could use littl help hint hint
"No service yet metroPCS has 4G, same location",servic yet metropc locat
"Coverage in Huntington, WV.",coverag huntington wv
No IPv6 Access?,access
"4G LTE in Cambridge, MA",lte cambridg
phone use in Paris,phone use pari
Wi-Fi calling on Moto Z,call moto z
San Diego one bar signal strength,san diego bar signal strength
No service and poor Lte,servic poor lte
No network registered,network regist
WiFi Calling with HD Voice?,wifi call hd voic
worst service in the world,worst servic world
My experience with tmobile: a horror story,experi tmobil horror stori
Terrible Call Quality - People cannot hear me,terribl call qualiti peopl hear
Is anyone in the NJ area not receiving service right now?,anyon nj area receiv servic right
I have 3 bars in my office and get ZERo service. Whats up with that?,bar offic get servic what
Ultra slow LTE speed in Las Vegas last two months and no response,ultra slow lte speed la vega last month respons
US Cellular EDGE priority too high,us cellular edg prioriti high
One Plus 3 (European model),plu european model
Cannot send text but I am receiving them,send text receiv
"Coverage deficiencies (could use a little help - hint, hint....)",coverag defici could use littl help hint hint
"No service yet metroPCS has 4G, same location",servic yet metropc locat
"Coverage in Huntington, WV.",coverag huntington wv
No IPv6 Access?,access
"4G LTE in Cambridge, MA",lte cambridg
phone use in Paris,phone use pari
Wi-Fi calling on Moto Z,call moto z
San Diego one bar signal strength,san diego bar signal strength
No service and poor Lte,servic poor lte
No network registered,network regist
WiFi Calling with HD Voice?,wifi call hd voic
worst service in the world,worst servic world
My experience with tmobile: a horror story,experi tmobil horror stori
Terrible Call Quality - People cannot hear me,terribl call qualiti peopl hear
Is anyone in the NJ area not receiving service right now?,anyon nj area receiv servic right
I have 3 bars in my office and get ZERo service. Whats up with that?,bar offic get servic what
Calling abroad? go right away,call abroad go right away
LG G4 and Band 12,lg band
Stateside International Talk and WiFi Calling,statesid intern talk wifi call
0 Kbps,0 kbp
Service inside buildings - what happened,servic insid build happen
Philippines Data Roaming,philippin data roam
The guy who resolved this is a genuis ios10 iphone 6 canada,guy resolv genui iphon canada
T-Mobile ip Address Range for Mobile Service?,ip address rang mobil servic
Restocking fee,restock fee
600/700 mhz spectrum_ Springfield IL?,mhz spectrum springfield il
"No Internet / slow Internet in Manteno, IL",internet slow internet manteno il
HTTPS tethering not working in (at least) Netherlands and Romania,http tether work least netherland romania
Coverage along US-23 in Kentucky,coverag along kentucki
Not connecting to LTE with s7 edge,connect lte edg
Cellspot Firmware alternative download,cellspot firmwar altern download
"When will band 12 available in Columbus, Marysville, East Liberty, Ohio",band avail columbu marysvil east liberti ohio
Sub 1Mbps DL speeds in NYC (indoor)?,sub dl speed nyc indoor
how to receive texts internationally?,receiv text intern
Cant fine my other line xxx xxx xxxx,cant fine line xxx xxx xxxx
Just switched to T-Mobile 3 days ago.,switch day ago
Calling abroad? go right away,call abroad go right away
LG G4 and Band 12,lg band
Stateside International Talk and WiFi Calling,statesid intern talk wifi call
0 Kbps,0 kbp
Service inside buildings - what happened,servic insid build happen
Philippines Data Roaming,philippin data roam
The guy who resolved this is a genuis ios10 iphone 6 canada,guy resolv genui iphon canada
T-Mobile ip Address Range for Mobile Service?,ip address rang mobil servic
Restocking fee,restock fee
600/700 mhz spectrum_ Springfield IL?,mhz spectrum springfield il
"No Internet / slow Internet in Manteno, IL",internet slow internet manteno il
HTTPS tethering not working in (at least) Netherlands and Romania,http tether work least netherland romania
Coverage along US-23 in Kentucky,coverag along kentucki
Not connecting to LTE with s7 edge,connect lte edg
Cellspot Firmware alternative download,cellspot firmwar altern download
"When will band 12 available in Columbus, Marysville, East Liberty, Ohio",band avail columbu marysvil east liberti ohio
Sub 1Mbps DL speeds in NYC (indoor)?,sub dl speed nyc indoor
how to receive texts internationally?,receiv text intern
Cant fine my other line xxx xxx xxxx,cant fine line xxx xxx xxxx
Just switched to T-Mobile 3 days ago.,switch day ago
Calling abroad? go right away,call abroad go right away
LG G4 and Band 12,lg band
Stateside International Talk and WiFi Calling,statesid intern talk wifi call
0 Kbps,0 kbp
Service inside buildings - what happened,servic insid build happen
Philippines Data Roaming,philippin data roam
The guy who resolved this is a genuis ios10 iphone 6 canada,guy resolv genui iphon canada
T-Mobile ip Address Range for Mobile Service?,ip address rang mobil servic
Restocking fee,restock fee
600/700 mhz spectrum_ Springfield IL?,mhz spectrum springfield il
"No Internet / slow Internet in Manteno, IL",internet slow internet manteno il
HTTPS tethering not working in (at least) Netherlands and Romania,http tether work least netherland romania
Coverage along US-23 in Kentucky,coverag along kentucki
Not connecting to LTE with s7 edge,connect lte edg
Cellspot Firmware alternative download,cellspot firmwar altern download
"When will band 12 available in Columbus, Marysville, East Liberty, Ohio",band avail columbu marysvil east liberti ohio
Sub 1Mbps DL speeds in NYC (indoor)?,sub dl speed nyc indoor
how to receive texts internationally?,receiv text intern
Cant fine my other line xxx xxx xxxx,cant fine line xxx xxx xxxx
Just switched to T-Mobile 3 days ago.,switch day ago
My internet is either slow or unresponsive i was under the impression I had unlimited data what's the deal?,internet either slow unrespons impress unlimit data deal
TMO @Home vs LineLink?,tmo home vs linelink
Tower upgrade in zip 72118,tower upgrad zip
Has T-Mobile decided to [re]enable Band 12 reception on the Huawei Honor 5x?,decid enabl band recept huawei honor
"Switched from previous T-Mobile plan to the One plan, LTE no longer connects.",switch previou plan plan lte longer connect
"Poor speed and coverage when I need it the most, Disneyland",poor speed coverag need disneyland
No coverage in Mexico for the past 2 days?,coverag mexico past day
I am unable to get on the internet,unabl get internet
"just switched from AT&T, LTE speeds problems already",switch lte speed problem alreadi
LTE speed is slow.,lte speed slow
Major outage in california!,major outag california
T-Mobile California Coverage is too congested,california coverag congest
Just switched from Sprint and coverage is terrible. What's up?,switch sprint coverag terribl
"Honolulu, Hi. 96819 Data Speeds Downloading Below 1mbs for the Last Couple Weeks. What's the Deal ?",honolulu hi data speed download last coupl week deal
Help! I can no longer use my phone while inside my house,help longer use phone insid hous
This is my 2nd go at T-Mobile and I am not getting the coverage I need.,go get coverag need
alabama coverage 2017?,alabama coverag
West Sacramento Supposed to have great coverage - this is the case across all phones.,west sacramento suppos great coverag case across phone
No Service (Phone a brick for 12 hours a day Mon-Fri),servic phone brick hour day
Poor indoor LTE reception vs ATT,poor indoor lte recept vs att
My internet is either slow or unresponsive i was under the impression I had unlimited data what's the deal?,internet either slow unrespons impress unlimit data deal
TMO @Home vs LineLink?,tmo home vs linelink
Tower upgrade in zip 72118,tower upgrad zip
Has T-Mobile decided to [re]enable Band 12 reception on the Huawei Honor 5x?,decid enabl band recept huawei honor
"Switched from previous T-Mobile plan to the One plan, LTE no longer connects.",switch previou plan plan lte longer connect
"Poor speed and coverage when I need it the most, Disneyland",poor speed coverag need disneyland
No coverage in Mexico for the past 2 days?,coverag mexico past day
I am unable to get on the internet,unabl get internet
"just switched from AT&T, LTE speeds problems already",switch lte speed problem alreadi
LTE speed is slow.,lte speed slow
Major outage in california!,major outag california
T-Mobile California Coverage is too congested,california coverag congest
Just switched from Sprint and coverage is terrible. What's up?,switch sprint coverag terribl
"Honolulu, Hi. 96819 Data Speeds Downloading Below 1mbs for the Last Couple Weeks. What's the Deal ?",honolulu hi data speed download last coupl week deal
Help! I can no longer use my phone while inside my house,help longer use phone insid hous
This is my 2nd go at T-Mobile and I am not getting the coverage I need.,go get coverag need
alabama coverage 2017?,alabama coverag
West Sacramento Supposed to have great coverage - this is the case across all phones.,west sacramento suppos great coverag case across phone
No Service (Phone a brick for 12 hours a day Mon-Fri),servic phone brick hour day
Poor indoor LTE reception vs ATT,poor indoor lte recept vs att
My internet is either slow or unresponsive i was under the impression I had unlimited data what's the deal?,internet either slow unrespons impress unlimit data deal
TMO @Home vs LineLink?,tmo home vs linelink
Tower upgrade in zip 72118,tower upgrad zip
Has T-Mobile decided to [re]enable Band 12 reception on the Huawei Honor 5x?,decid enabl band recept huawei honor
"Switched from previous T-Mobile plan to the One plan, LTE no longer connects.",switch previou plan plan lte longer connect
"Poor speed and coverage when I need it the most, Disneyland",poor speed coverag need disneyland
No coverage in Mexico for the past 2 days?,coverag mexico past day
I am unable to get on the internet,unabl get internet
"just switched from AT&T, LTE speeds problems already",switch lte speed problem alreadi
LTE speed is slow.,lte speed slow
Major outage in california!,major outag california
T-Mobile California Coverage is too congested,california coverag congest
Just switched from Sprint and coverage is terrible. What's up?,switch sprint coverag terribl
"Honolulu, Hi. 96819 Data Speeds Downloading Below 1mbs for the Last Couple Weeks. What's the Deal ?",honolulu hi data speed download last coupl week deal
Help! I can no longer use my phone while inside my house,help longer use phone insid hous
This is my 2nd go at T-Mobile and I am not getting the coverage I need.,go get coverag need
alabama coverage 2017?,alabama coverag
West Sacramento Supposed to have great coverage - this is the case across all phones.,west sacramento suppos great coverag case across phone
No Service (Phone a brick for 12 hours a day Mon-Fri),servic phone brick hour day
Poor indoor LTE reception vs ATT,poor indoor lte recept vs att
"Can't make voice calls in certain areas, good 4G signal",ca make voic call certain area good signal
After porting from straight talk i have no call or texts but never lost data please help,port straight talk call text never lose data pleas help
Unanswered or rejected international roaming calls?,unansw reject intern roam call
Why am i unable to make calls in the last two days over wifi? I can't be heard.,unabl make call last day wifi ca hear
in shawnee ok i am ether getting 4g lte with no signal or 2g with full signal i pay for 4g lte unlimated can someone tell me whats happening here,shawne ok ether get lte signal full signal pay lte unlim someon tell what happen
I have terrible signal while in my work building ( there is no wifi)_ and terrible call quality while on the road. I recently switched from Sprint but never had this problem with them. :(,terribl signal work build wifi terribl call qualiti road recent switch sprint never problem
unlimited data throttling,unlimit data throttl
"Four bars, but no service starting at same time each day",bar servic start time day
No Service Where Coverage Map Shows LTE,servic coverag map show lte
No Service?,servic
"Owensboro, KY area newly expanded coverage but still the same",owensboro ky area newli expand coverag still
"Dead Band 12 tower in Redwood City, CA",dead band tower redwood citi ca
Cannot connect to the internet T Mobile Vibe E200,connect internet mobil vibe
Receive calls while abroad,receiv call abroad
4G LTE booster showing Error Code E7,lte booster show error code
"signal next to non existent in Ravensdale (sport Complex) Park, WA",signal next non exist ravensdal sport complex park wa
Band 2 - 4G LTE in central Pennsylvania,band lte central pennsylvania
"Trying to get a definitive answer to the following: For Simple Choice North America, is international roaming data now unlimited? Also, has the speed been increased from 128kbps to 3G/4G?",tri get definit answer follow simpl choic north america intern roam data unlimit also speed increas
National or Regional Data Outage?,nation region data outag
No service parkersburg wv,servic parkersburg wv
"No service in Dominican Republic, troubleshooting methods and help?",servic dominican republ troubleshoot method help
Not getting coverage in my dorm anymore,get coverag dorm anymor
"Please extend coverage in Durango, Colorado",pleas extend coverag durango colorado
Will the Band 12 be improved in areas lacking power?,band improv area lack power
I cannot connect on s7 edge.,connect edg
Unable to Make Calls,unabl make call
"why does my phone say ""Not registered on network""?",phone say regist network
International data speeds,intern data speed
"is there a servie outage in Livonia-Canton-Novi, Michigan?",servi outag michigan
Not getting calls at Home,get call home
I have a Galaxy S7 Edge._ I am offline.,galaxi edg offlin
"While in Utah I find out that my phone does not work there, and now like to know if the same happen to me in New York.",utah find phone work like know happen new york
Network Coverage Metrics,network coverag metric
Can the HTC One M8 bought from Taiwan be used in New York City?,htc buy taiwan use new york citi
can I configure my CellSpot to allow a client to bypass the vpn?,configur cellspot allow client bypass vpn
Coverage,coverag
moved my Note5 from ATT. Wifi calling firmware set to ATT wifi. Unable to use. Any workarounds? Bought new J7 and TMobile wifi works great.,move att wifi call firmwar set att wifi unabl use workaround buy new tmobil wifi work great
Mexico and The Carribean,mexico carribean
outage in parts of ware ma 01082,outag part ware
What is going on with the coverage on prominence drive 15068? I have no service. I cannot receive or send texts or calls. I just switched to Tmobile. Is this common?,go coverag promin drive servic receiv send text call switch tmobil common
Global Package Question,global packag question
how can I restrict cel usage to calls and text?,restrict cel usag call text
US Virgin Islands Coverage,us virgin island coverag
Who does T-Mobile partner with in Mexico?,partner mexico
"I am in Hyderabad, cannot receive calls",hyderabad receiv call
Outage in Northern CT: Day 2.,outag northern ct day
Anyone know what coverage is actually like along I-80 in Wyoming?,anyon know coverag actual like along wyom
TM-AC1900 CellSpot Issues,cellspot issu
How to properly access voicemail while in Toronto Canada?,properli access voicemail toronto canada
Simply Prepaid Plan (US$60 for 10GB),simpli prepay plan us
Will the AT&T iPhone 6S work on T-Mobile?,iphon work
Service is great in Newport News VA but....,servic great newport news va
"Anyone having slow or no data around 3 - 6PM, Houston Gulfton area?",anyon slow data around houston gulfton area
Out-of-Plan Charges - Unheard of!,charg unheard
Horrible Coverage in New Jersey. Zip 08823,horribl coverag new jersey zip
"Why does my Galaxy S7 Edge lose signal, then need a full reboot to get full LTE and bars back in the same spot?",galaxi edg lose signal need full reboot get full lte bar back spot
"Cancel to my iPhone 5 payment. No service in Woodbury, Tn",cancel iphon payment servic woodburi tn
using tmobil on the water,use tmobil water
T-Mobile Account for Someone Living in Hong Kong?,account someon live hong kong
about the recent expansion in SE WV,recent expans se wv
Anyone else having habitual issues with WiFi Calling on V10 or V20?,anyon els habitu issu wifi call
Zero-Rated Data Testing Apps,data test app
Would love to see more support for the TM-AC1900 WiFi Cellspot Router,would love see support wifi cellspot router
Is band 12 coming to the Uintah Basin Utah?,band come uintah basin utah
wifi calling Samsung S3 mini,wifi call samsung mini
How to enable call forwarding using Linelink?,enabl call forward use linelink
"Does unlimited talk, text and data sim card work well in St John's in Newfoundland, in Canada?",unlimit talk text data sim card work well st john newfoundland canada
I have a Samsung Galaxy Note 3 and every time I try to make a call all my bars drop and my network shuts down,samsung galaxi note everi time tri make call bar drop network shut
Can't make calls,ca make call
Canada - no signal - Windows Phone,canada signal window phone
"I use to get internet connection on Cellular One in Yorktown,TX.",use get internet connect cellular yorktown tx
Anyone else have absolutely no domestic roaming data while in Louisiana or West Texas since Christmas '16??,anyon els absolut domest roam data louisiana west texa sinc christma
Huawei P9 Plus VIE-L29,huawei plu
"Slow data speeds, are we throttled? VZN rep. says we are? :(",slow data speed throttl vzn say
